Name|Level|Price|EAC Bonus|KAC Bonus|Maximum Dex Bonus|Armor Check Penalty|Speed Adjustment|Upgrade Slots|Bulk|Proficiency
Hellknight Plate, Maralictor|9|14,500|16|17|2|-2|-2|4|3|Heavy
Formian Hide, Superior|10|16,500|15|17|3|-4|-1|3|2|Heavy
Defiance Series, Specialist|10|16,950|15|18|2|-4|-2|3|3|Heavy
Kyokor Plating, III|10|17,100|13|16|4|-2|-1|3|1|Heavy
Mining Jack, III|10|17,150|15|19|1|-3|-2|3|3|Heavy
Dendron Armor, Oak|10|18,450|14|17|3|-2|-1|2|2|Heavy
Aeon Guard, Battle Dress (Command)|10|18,750|15|17|3|-3|-2|5|3|Heavy
Vesk Overplate, III|11|23,400|16|18|3|-2|-1|4|2|Heavy
Enforcer Armor, II|11|23,725|17|19|2|-4|-2|4|3|Heavy
Golemforged Plating, IV|11|24,800|15|17|3|-3|-2|6|3|Heavy
Lashunta Ringwear, IV|11|27,100|16|18|4|-3|-1|4|2|Heavy
Night Plate, II|12|37,500|15|17|5|-2|-1|4|2|Heavy
Vesk Monolith, I|12|39,650|16|18|4|-2|-1|5|2|Heavy
Formian Plate, Taskmaster|12|42,000|16|19|3|-4|-2|1|3|Heavy
Iridishell, Superior|12|42,250|17|18|4|0|0|4|2|Heavy
Aegis Series, Squad|12|45,200|17|19|3|-5|-2|5|3|Heavy
Hardplate, Elite|13|48,000|19|20|4|-3|-1|0|2|Heavy
Kalo Encounter Suit, III|13|48,500|20|21|3|-3|-2|4|3|Heavy
Skyfire Armor, Exident|13|53,600|18|20|4|-2|-1|5|2|Heavy
Fossilwrap, II|13|55,000|19|19|4|-2|-1|5|2|Heavy
Golemforged Plating, V|14|63,750|18|20|4|-3|-2|7|3|Heavy
Inheritor's Grace, II|14|67,400|20|21|3|-2|-1|4|2|Heavy
Vesk Overplate, IV|14|71,850|19|21|4|-2|-1|5|2|Heavy
Kyokor Plating, IV|14|76,000|17|19|5|-2|-1|4|1|Heavy
Hellknight Plate, Paralictor|14|80,000|21|22|3|-2|-2|6|3|Heavy
Lashunta Ringwear, V|15|94,200|20|22|4|-2|-1|5|2|Heavy
Enforcer Armor, III|15|101,150|21|23|3|-3|-2|5|3|Heavy
Enginerunner|15|120,900|21|22|4|0|0|5|2|Heavy
Steelbones|16|145,500|21|23|4|-3|-1|6|2|Heavy
Vesk Monolith, II|16|163,400|22|24|4|-3|-1|6|2|Heavy
Night Plate, III|16|177,300|21|24|5|-1|-1|4|2|Heavy
Aegis Series, Elite|17|209,000|23|27|3|-5|-2|6|3|Heavy
Dendron Armor, Sequoia|17|256,500|23|25|4|-2|-1|5|2|Heavy
Kalo Encounter Suit, IV|18|360,000|25|26|4|-3|-2|6|3|Heavy
Vitrum Plate|18|365,650|23|24|5|0|0|4|1|Heavy
Kyokor Plating, V|18|371,000|23|24|5|-2|-1|6|1|Heavy
Vesk Overplate, V|18|415,800|24|26|4|-3|-1|7|2|Heavy
Formian Plate, Myrmarch|19|557,000|24|27|3|-4|-2|3|3|Heavy
Inheritor's Grace, III|19|591,000|25|27|4|-2|-1|7|2|Heavy
Voidshield Armor|19|610,250|25|26|5|-3|-1|7|2|Heavy
Fossilwrap, III|19|645,000|25|25|6|-2|-1|6|2|Heavy
Vesk Monolith, III|20|827,250|26|27|5|-2|-1|7|2|Heavy
Night Plate, IV|20|886,500|25|26|6|0|0|6|2|Heavy
Aegis Series, Specialist|20|932,000|25|28|4|-4|-2|7|3|Heavy
