Name|Level|Price|EAC Bonus|KAC Bonus|Maximum Dex Bonus|Armor Check Penalty|Speed Adjustment|Upgrade Slots|Bulk|Proficiency|Source|Description|Speed|Strength|Damage|Size|Capacity|Usage|Weapon Slots
Ironclad Bulwark|10|19,250|16|19|2|-6|0|3|32|Powered|Starfinder Armory pg. 78|This heavy suit of reinforced metal and polymer powered armor provides superior protection at the expense of mobility. It can mount melee weapons in its weapon slots, rather than only ranged weapons.|20 ft.|20 (+5)|1d10 B|Large (5-ft. reach)|100|4/hour|2
Spider Harness|10|19,500|10|13|5|-4|0|2|28|Powered|Starfinder Core Rulebook pg. 204|This suspension harness has six arachnid legs. Each leg has a gravitic attraction device at the tip, allowing the armor to climb up walls and even walk across ceilings. The armor grants the wearer a climb speed of 25 feet. A spider harness also has powered arm braces that attach to the wearer’s arms, allowing the wearer to use weapons.|25 feet, climb 25 feet|18 (+4)|1d10 P|Large (10-foot reach)|40|1/minute|1
Flight Frame|11|27,100|12|19|3|-5|0|4|40|Powered|Starfinder Core Rulebook pg. 204|This massive, sleek machine is shaped like a person and equipped with powerful thrusters built into the feet and attached to the back, giving it a fly speed with average maneuverability.|30 feet, fly 30 feet (average)|22 (+6)|2d6 B|Huge (10-foot reach)|100|1/minute|3
Stag-Step Suit (Hybrid)|11|26,400|16|18|4|-3|0|3|30|Powered|Starfinder Armory pg. 79|Forged and constructed from supernatural metals collected from the realms of the fey, this powered armor has long antlers atop its blank-faced helmet. If the armor has at least 10 charges remaining, you can spend 10 charges to create a fold in reality, per the dimension door spell. You can travel only 100 feet with this ability, and you can’t take other creatures with you. Once you have used this ability, the stag-step suit retains a charge of dimensional static that prevents you from using the armor’s ability again for 24 hours.|30 ft.|20 (+5)|2d6 P|Large (10-ft. reach)|40|1/hour|3
Celerity Rigging (Hybrid)|12|38,500|16|20|5|-2|0|2|4|Powered|Starfinder Armory pg. 75|Unlike most other suits of powered armor, which are cumbersome and slow, this armor was designed for magically amplified responsiveness and speed. The armor resembles a humanoid frame of narrow rods, providing you with superior visibility and maneuverability while worn. Instead of heavy plating to absorb blows, celerity rigging uses sophisticated planes of magical force to deflect attacks. Incorporeal creatures’ attacks target your KAC rather than your EAC when you are wearing this armor.|50 ft.|22 (+6)|2d6 B|Medium|40|1/hour|2
Winter Walker|13|52,100|16|22|4|-4|0|3|34|Powered|Starfinder Armory pg. 79|The thick legs of this heavily insulated armor end in short retractable spikes, allowing you to easily anchor yourself to most surfaces. You gain a +2 bonus to your AC when resisting bull rush, reposition, and trip combat maneuvers as long as you are standing on the ground. You and the armor are immune to cold damage and cold environments, even when your environmental protections are not active. Your movement is not slowed by icy surfaces, and the DCs of Acrobatics checks you attempt on such surfaces do not increase.|30 ft.|26 (+8)|2d6 P|Large (10-ft. reach)|20|1/hour|2
Explorer's Cradle|14|79,000|17|23|3|-3|0|2|35|Powered|Starfinder Armory pg. 75|Travelers on alien worlds must be prepared to confront a variety of difficult environments. This long-range powered armor resembles a humanoid torso atop several bristly metal tendrils ending in sharp, grasping claws. The armor has comfortable seating and a supply of nutritious paste delivered intravenously while wearing an explorer’s cradle, you do not need to eat or drink. As a standard action, you can extend and reshape the tentacles into a variety of forms resembling limbs, fins, or wings, gaining one of the following abilities until you next rearrange the tentacles.Bladed Strikes: The damage dealt by this armor increases to 4d8 slashing damage.: You gain a climb speed of 20 feet.Creeping Legs: Your movement is not slowed by difficult terrain, although you still cannot run or charge through difficult terrain.Fluttering Wings: The tentacles splay out behind you and form connective membranes to create wings, granting you a fly speed of 20 feet with clumsy maneuverability.Undulating Tendrils: You gain a swim speed of 20 feet.|30 ft.|26 (+8)|3d6 B|Large (10-ft. reach)|100|1/hour|2
Commander's Harness|15|122,500|19|24|3|-3|0|2|40|Powered|Starfinder Armory pg. 75|A reinforced version of the standard battle harness, this powered armor frame is most often used by squad leaders commanding units of heavily armored soldiers. Its larger size helps leaders of entire armored battalions maintain visibility and control during a confrontation.|30 feet|28 (+9)|2d8 B|Large (10-ft. reach)|40|1/hour|3
Jarlslayer|15|125,500|18|24|4|-6|0|2|43|Powered|Starfinder Core Rulebook pg. 204|The dwarven-built jarlslayer suit is traditionally shaped like a stocky, heavily armored dwarf with articulated hands, though other races have created sleeker, more modern-looking versions.|20 feet|29 (+9)|2d8 B|Large (10-foot reach)|100|1/minute|2
Angel Frame (Hybrid)|16|191,000|18|22|6|-2|0|2|18|Powered|Alien Archive 3 pg. 125|This surprisingly light suit of hybrid powered armor uses technomagical microthrusters to grant you flight and incredible mobility. In its undeployed form, an angel frame looks and functions as a specific kind of clothing, often an environmental outfit or travel outfit. In this form, an angel frame grants none of the effects of wearing powered armor and doesn’t use charges. As a full action, you can speak a command word that causes pieces of the armor to deploy from extra-dimensional spaces and fit together around you. Once deployed, the angel frame functions as powered armor with the listed statistics. You can return the angel frame to its undeployed form as a full action by speaking the same command word. An angel frame that runs out of power stays in its deployed form and has a bulk of 18 you can still exit the armor as a full action.Angel frames tend to resemble a gleaming suit of full plate perfectly tailored to your form, sometimes with wing-like protrusions at its shoulders its appearance can also be subtly altered to fit your personal aesthetic.|30 ft., fly 60 ft., (perfect)|20 (+5)|2d6 P|Medium|100|1/minute|1
Kyton Bloodsuit (Hybrid)|16|187,750|20|25|4|-2|0|3|30|Powered|Starfinder Armory pg. 78|This union of chains, metal plates, and magically solidified blood has a brutally functional appearance. Designed in cooperation with the pain-loving kytons of the Shadow Plane, kyton bloodsuits include clusters of blades and needles on the inside of the armor that shift about, seeking to pierce the wearer’s skin. The armor deals 1d4 damage to you each minute of operation (whenever the armor uses a charge). When you take this damage, you can spend 1 Resolve Point as a reaction to restore 5 charges to the kyton bloodsuit, but you can’t restore more charges than it actually holds.|30 ft.|27 (+8)|3d6 P|Large (10-ft. reach)|100|1/minute|2
Extradimensional Armor (Hybrid)|17|278,200|22|28|3|-3|0|3|20|Powered|Starfinder Armory pg. 75|Constructed with the aid of mad cultists who revere inhuman, unknowable entities from the most distant corners of reality, this metallic armor defies conventional geometry. Its flat planes appear strangely curved upon close inspection, and its contours bend and blur. Your opponents can’t keep a clear sight on the armor’s shape or position, even when looking directly at it. If you have concealment from an attacker from any source, increase the miss chance from concealment by 10% (normally to 30%). If you do not have concealment from an attacker, the armor’s warped shape grants you concealment but with only a 10% miss chance. This armor has no effect on attacks against you when you have total concealment. Wearing the armor has a deleterious effect on mortal sanity when you remove the armor, you must succeed at a Will save (DC = 10 plus 1 per full hour spent wearing the extradimensional armor) or take a –2 penalty to Will saves and Wisdom-based ability checks and skill checks for 24 hours.|30 ft.|26 (+8)|2d10 P|Medium (10-ft. reach)|20|1/hour|3
Reactor Guard|17|271,000|24|27|4|-4|0|4|35|Powered|Starfinder Armory pg. 78|This heavy, awkward armor is built with the highest levels of radiation shielding and anti-radiation materials known in the Pact Worlds. Primarily used to lift ultra-dense materials within reactor cores, reactor guard armor is useful for anyone fighting or working in areas with toxic levels of radiation. You and the armor are both immune to radiation even when your environmental protections are not active, and you can’t contract radiation sickness while wearing the armor.|25 ft.|30 (+10)|4d6 B|Large (5-ft. reach)|40|1/minute|3
Surnoch Suit|18|405,000|23|27|3|-4|0|3|35|Powered|Starfinder Armory pg. 79|This sturdy gray suit of powered armor has rows of fine blades running along the body and limbs, which serve as digging claws it is often used by elite sapper teams to reach entrenched enemies. A surnoch suit grants you a burrow speed. You can tunnel through rock while wearing a surnoch suit, but your speed is reduced to 5 feet.|30 ft., burrow 20 ft.|29 (+9)|3d10 S|Large (10-ft. reach)|20|1/hour|4
Warmaster's Harness|19|610,000|24|28|3|-5|0|4|110|Powered|Starfinder Armory pg. 79|The most sophisticated and powerful version of the common powered battle harness, the warmaster’s harness resembles a towering, armored titan. Its wide shoulder frame normally mounts short-range communication equipment to orchestrate troop movements or an enormous banner to identify military affiliation. It is often used by the generals of entire armies (or by assistants to such generals, in cases where the general cannot be risked directly on the front lines).|30 ft.|31 (+10)|5d10 S|Gargantuan (20-ft. reach)|20|1/hour|5
Starguard|20|904,500|27|29|4|-3|0|5|10|Powered|Starfinder Armory pg. 79|This shimmering golden armor is made primarily of reinforced esaris, a extremely light and durable proprietary material developed by the kasathan doyenate. One of the most expensive and well-designed armors produced by kasathans, starguard deflects energy attacks nearly as effectively as its reinforced frame absorbs physical blows. The interior of the helmet provides continuous status updates about your surroundings, providing you blindsight (vibration) with a range of 120 feet.|30 ft.|30 (+10)|4d8 B|Medium (10-ft. reach)|40|1/hour|4
