Name|Source|Item Level|Description
Inspiring|Starfinder Armory pg. 63|2|The inspiring fusion imbues a weapon with hope. When you score a critical hit using a weapon with the inspiring fusion, you and all allies within 60 feet gain a +2 morale bonus to saving throws against attacks, effects, and spells from the target of your attack for 1 minute. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the inspiring effect.
Merciful|Starfinder Core Rulebook pg. 194|2|A weapon with the merciful fusion often hums pleasantly when at rest and makes soft, airy musical noises when it is used to make an attack. The magic of this fusion subdues the damaging effect of the weapon it is added to. While this fusion is active, the weapon’s regular damage becomes nonlethal damage. If the weapon deals two types of damage, both of the damage types become nonlethal. You can activate or deactivate the merciful fusion as a swift action.
Opportunistic|Starfinder Armory pg. 64|2|The opportunistic fusion guides your accuracy when making attacks of opportunity and leaves your foes vulnerable to your attack. You gain a +2 bonus to attacks of opportunity made with this weapon. If your attack of opportunity hits, you gain a +2 bonus to the damage roll for that attack of opportunity. This damage increases by 1 if the weapon is item level 5, and by an additional 1 for every 5 item levels thereafter. Only melee weapons can benefit from this fusion.
Spellthrower|Starfinder Core Rulebook pg. 195|2|A weapon with the spellthrower fusion is able to have a single spell gem loaded into it at a time. It takes 1 minute to load a spell gem, and only gems containing a spell with a casting time of one standard action or less and a spell level no greater than one-quarter the weapon’s item level can be loaded into the weapon. If you are proficient with and wielding the weapon, as a full action you can cast the spell contained within the spell gem rather than make a normal attack. This allows you to use the spell gem as if you were a spellcaster with the spell on your class’s spell list. Unlike the normal rules for using a spell gem, it does not matter if the gem’s item level is higher than your caster level (even if your caster level is 0). However, if the spell gem’s item level is higher than your base attack bonus, once you’ve spent the full action to cast the spell, you must succeed at an attack roll with the weapon against an AC equal to the spell gem’s level + 1 or you fail to cast the spell. This roll represents your expertise with the weapon, and no actual attack or ammunition is used. If you fail to cast a spell from a spell gem, the spell is expended harmlessly and the spell gem is destroyed.
Throwing|Starfinder Armory pg. 65|2|The throwing fusion makes even the most cumbersome melee weapon usable as a thrown weapon. A melee weapon with this fusion gains the thrown special property with a range increment of 10 feet. If the weapon has an item level of 10 or higher, the range increment is 20 feet. This fusion allows you to add additional fusions that benefit thrown weapons. You must be proficient with a melee weapon with the throwing fusion in order to benefit from the thrown special property granted by it. Only melee weapons can benefit from the throwing fusion.
Ulrikka Duster|Pact Worlds pg. 195|2|Dwarven asteroid miners favor the Ulrikka duster fusion, which causes any weapon with it to take on an armored, stocky appearance. Attacks made with weapons with this fusion ignore half of a target item’s hardness. Use of such weapons has helped more than one short-supplied dwarven mining crew remove the last bits of useful material from an asteroid while still remaining armed enough to fight off space pirates.
Unholy|Starfinder Core Rulebook pg. 195|2|The unholy fusion imbues a weapon with divine energy from an evil deity. Any attacks with the fused weapon are evil-aligned. Damage from the weapon overcomes DR/evil and ignores the energy resistance of good dragons and good outsiders. The unholy fusion can’t be added to weapons that have the holy fusion.
Venomous|Starfinder Core Rulebook pg. 195|2|A weapon with the venomous fusion gains the injection weapon special property (see page 181). Only a single attack each day may benefit from this property, and you must announce before making an attack that it is an injection attack. Regardless of how many targets you can hit with a single attack from your weapon, only a single target of your choice is exposed to the drug, medicinal, or poison when you use the injection property in an attack. Only weapons that deal piercing or slashing damage can benefit from this fusion.
Astute|Pact Worlds pg. 194|3|The fusion causes a weapon to become etched with glowing circuitry and ringed with faint blue-black flames. Stewards often use astute weapons as they hunt down criminals within the Pact Worlds. The DC of Bluff checks to feint against you and to use the operative’s trick attack ability against you increases by 2 while you wield such a weapon.
Binding|Starfinder #1: Incident at Absalom Station pg. 52|3|Weapons with the binding fusion often feature decorative images of bars, gates, and manacles. A binding weapon gains the bind critical hit effect. When you score a critical hit on a target, you gain a +2 bonus to grapple checks you make against that target until the end of your next turn. If the weapon already has a critical hit effect, you can apply either the weapon’s normal critical hit effect or the binding critical hit effect when you score a critical hit. You can add this fusion only to melee weapons.
Conserving|Starfinder Armory pg. 62|3|Weapons with the conserving fusion preserve their ammunition and charges after a miss. When you miss with a ranged attack roll, your charge or ammunition is not consumed, as though the weapon had never been fired. This fusion does not prevent your weapon from malfunctioning or breaking as a consequence of your attack. Only weapons that use arrows, batteries, darts, flares, grenade arrows, mini-rockets, rounds, or scattergun shells as ammunition can benefit from a conserving fusion.
Deafening|Starfinder Core Rulebook pg. 193|3|With the deafening fusion, a weapon releases a blast of low-frequency sonic energy on impact. The weapon gains the deafen critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the deafen effect. Only weapons that deal bludgeoning, piercing, slashing, or sonic damage can benefit from a deafening fusion.
Defending|Starfinder Armory pg. 63|3|Weapons with the defending fusion aid their wielder when blocking or fighting defensively. When you fight defensively while attacking with a weapon with this fusion, you gain a +1 bonus to attack rolls with the weapon (effectively reducing the penalty from fighting defensively to –3) and an additional +1 bonus to AC until the start of your next turn. Additionally, if your weapon has the block weapon special property, increase the enhancement bonus to your AC against melee attacks from that target to +2. Only melee weapons can benefit from this fusion.
Dispelling|Starfinder Core Rulebook pg. 193|3|A weapon with the dispelling fusion gathers spare wisps of latent magic during combat, which it can then unleash in a focused effort to dispel magic. The weapon gains dispelling as a critical hit effect in combat. This ability manifests only in high-stakes situations, so you must be in combat and facing a significant enemy (see page 242) for it to gain this critical hit effect. If there’s any doubt about whether you’re in combat or able to access the critical hit effect, the GM decides. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the dispelling effect. A target affected by the dispelling critical hit effect is the subject of a targeted dispel magic, as the spell, using the weapon’s item level as the dispel check’s caster level.
Disruptive|Starfinder Core Rulebook pg. 193|3|The disruptive fusion imbues a weapon with powerful positive energy designed to disrupt the magical forces that allow undead to exist. The weapon ignores any DR and energy resistance of undead creatures. Only weapons that deal bludgeoning damage can benefit from this fusion.
Potent|Starfinder Armory pg. 64|3|The potent fusion boosts the DC of saving throws associated with the weapon. When you attack using a weapon with this fusion, increase the DC for saving throws against the weapon’s critical hit effects, other weapon fusions, weapon special properties, and any effect delivered by the weapon (such as an injected poison) by 1.
Seeking|Starfinder Core Rulebook pg. 195|3|The seeking fusion causes an attack from a weapon to veer toward its target. This negates any miss chance caused by the target having concealment, though it has no effect on miss chances from other sources (and does not offset the miss chance from a target having total concealment).
Sentinel|Pact Worlds pg. 195|3|Like most weapon fusions designed for use on AbadarCorp weapons, the sentinel fusion makes a weapon richly ornamented, sometimes even gold-plated, and often adds icons of vault doors. Favored by colonists and corporate guards, once per day a sentinel weapon allows you to declare an area of up to 1,000 cubic feet as being under guard for up to 8 continuous hours. While wielding the sentinel weapon within an area under guard in this manner, you gain a +2 bonus to initiative checks and Perception checks.
Bonding|Pact Worlds pg. 194|4|A creation of the Brethedan biotech firm Life Innovations, a bonding weapon melds into your limb when you draw it (its coloration changes to match your skin tone). You gain a +2 circumstance bonus to your KAC against disarm and sunder combat maneuvers targeting the weapon.
Burning|Starfinder #1: Incident at Absalom Station pg. 51|4|Weapons with the burning fusion often take on an appearance that includes numerous flame-like elements. However, if applied to a weapon that already has visual details representing crows or ravens, the fusion adds further raven-like flourishes to the weapon instead. A weapon with the burning fusion gains the burn critical hit effect. The burn damage for the critical hit effect is 1d6 when the fusion is applied to a 4th- or 5th-level weapon, 2d6 when applied to 6th- to 10th-level weapons, 3d6 when applied to 11th- to 15th-level weapons, and 4d6 when applied 16th- to 20th-level weapons. If the weapon already has a critical hit effect, you can apply either the weapon’s normal critical hit effect or the burn critical hit effect when you score a critical hit.
Manufacturing|Pact Worlds pg. 195|4|Followers of the Prophecies of Kalistrade use manufacturing weapon fusions to ensure they are never without ammunition (or gouged by isolated traders for ammunition), even on long trade missions. This fusion often makes the weapon pearly white with gold accents. You can add up to 400 credits of UPBs to a manufacturing weapon as a swift action. When you do, the fusion’s magic instantly manufactures ammunition inside the weapon worth an equal amount (which might mean recharging a battery) up to the maximum the weapon can carry. This ammunition is nonmagical and can be removed normally.
Tactical|Pact Worlds pg. 195|4|You can add the tactical fusion only to a ranged weapon. Tactical weapons are traditionally associated with the mercenaries of the Skyfire Legion and the close bonds they often form with one another. Such weapons typically take on decorations of crossed blades, bundles of arrows, or similar sets of weaponry. When you use a tactical weapon to provide covering fire or harrying fire, the bonus granted increases by 1. This ability of this fusion doesn’t stack with other abilities that increase the bonuses provided by covering fire or harrying fire.
Vanishing|Starfinder Armory pg. 65|4|The vanishing fusion can hide its wielder from the sight of one foe. Once per day after making an attack with your weapon, regardless of whether you hit your target, you can become invisible to that target per invisibility for a number of rounds equal to the weapon’s item level. Any attacks you make (even against other targets) end your invisibility as normal. All creatures other than the target continue to be able to see you normally. Only small arms and weapons with the operative special property can benefit from this fusion.
Accurate|Starfinder Armory pg. 62|5|The accurate fusion bestows exceptional balance and handling on a weapon. When you take a move action to aim a weapon with this fusion at a specific target, you gain a +1 bonus to your next attack roll with that weapon provided neither you nor your target has moved since you aimed. You also gain this bonus if you take a move action to aim for other purposes, such as aiming a weapon with the sniper special property. Only ranged weapons can benefit from this fusion.
Apprehending|Pact Worlds pg. 194|5|The apprehending fusion causes the weapon to grow spikes and overwrought iron fixtures, as befits its use by the Hellknights. When an apprehending weapon hits an enemy, you can activate the fusion as a reaction to perform a trip combat maneuver against that target with the same attack bonus as for the weapon attack. Additionally, the target must succeed at a Fortitude saving throw (DC = 10 + half the weapon’s item level + the ability score modifier you apply to attack rolls with the weapon) or be unable to cast spells or spell-like abilities for 1 round. Once the weapon has used this ability, it cannot use it again until you take a 10-minute rest to regain Stamina Points.
Bane|Starfinder Core Rulebook pg. 192|5|The bane fusion enhances the power of critical hits against certain foes. Against a designated foe, the bane weapon gains the stunned critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit against an appropriate foe, you can apply either the weapon’s normal critical hit effect or the stunned effect. When you add this fusion to a weapon (or create it as a fusion seal), you must select a single creature type (aberration, animal, construct, dragon, fey, humanoid, magical beast, ooze, outsider, plant, undead, or vermin) against which it will apply. If you select humanoid or outsider, you must also select one subtype. The stunned critical hit effect applies only against creatures of the selected type (and subtype, if selected). Once selected, the creature type and subtype can’t be changed.
Bleeding|Starfinder Core Rulebook pg. 193|5|The bleeding fusion weaves entropic energy into the weapon’s form. The weapon gains the bleed critical hit effect (see page 182). The amount of damage taken each round from this effect is equal to 1d6 per 5 levels of the weapon, rounded down. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the bleed effect. Only weapons that deal piercing or slashing damage can have this fusion.
Bombarding|Starfinder Armory pg. 62|5|The bombarding fusion allows a weapon to duplicate the effect of a single grenade that is loaded into an extradimensional space within the weapon. Loading a grenade into a weapon with the bombarding fusion takes a full round, as does removing a previously loaded grenade. A grenade loaded into a weapon with the bombarding fusion cannot have an item level greater than the weapon’s item level. The grenade cannot be detonated, sundered, or otherwise affected while it is within this extradimensional space, and if the weapon is destroyed or gains the broken condition, the grenade is permanently destroyed. Once per day, a weapon with the bombarding fusion can launch a mystic version of the loaded grenade. This acts as throwing the grenade, and uses the same proficiency and range increment as throwing a grenade, but does not require a free hand. As long as you are wielding a weapon with the bombarding fusion and it has not yet used this ability, you can launch the grenade as a ranged attack. Once this ability has been used, the loaded grenade can be removed from the extradimensional space, but a new grenade cannot be loaded into it until 24 hours have passed.
Devastating|Starfinder Core Rulebook pg. 193|5|You can apply the devastating fusion only to a weapon with two or more critical hit effects. When you score a critical hit with a weapon that has the devastating fusion, you can select two of the critical hit effects to apply to the target (even if you are normally required to select just one critical hit effect).
Energetic|Starfinder Armory pg. 63|5|A projectile weapon with the energetic fusion relies on energy rather than physical ammunition to generate kinetic attacks. Instead of being loaded with darts, rounds, or scattergun shells, the weapon is loaded with a battery. The type of battery the projectile weapon uses depends on its original capacity as follows: 1–20 use batteries, 21–40 use high-capacity batteries, 41–80 use super-capacity batteries, and 81 or more use ultracapacity batteries. The weapon’s usage does not change, but it takes charges from the installed battery, rather than expending physical ammunition. The fusion converts the energy into physical bullets which target KAC and deal damage normally for the weapon. Only weapons in the projectile category that would normally use darts, rounds, or scattergun shells can benefit from the energetic fusion.
Flaming|Starfinder Core Rulebook pg. 194|5|The flaming fusion imbues a weapon with the fiery power of a star. Half the weapon’s damage type is replaced with fire damage. You can activate or deactivate the flaming fusion as a swift action. If the weapon already deals two types of damage, replace one of them with fire (you decide which damage type to replace each time you activate the flaming fusion). You can add this fusion only to a weapon that does not already deal fire damage. This fusion never causes a weapon that normally targets KAC to target EAC.
Frost|Starfinder Core Rulebook pg. 194|5|The frost fusion imbues a weapon with the icy cold of a dead world far from its system’s sun. Half the weapon’s damage type is replaced with cold damage. You can activate or deactivate the frost fusion as a swift action. If the weapon already deals two types of damage, replace one of them with cold (you decide which damage type to replace each time you activate the frost fusion). You can add this fusion only to a weapon that does not already deal cold damage. This fusion never causes a weapon that normally targets KAC to target EAC.
Ghost Killer|Starfinder Core Rulebook pg. 194|5|Attacks from a weapon with this fusion deal full damage to incorporeal creatures. They also pass into the Ethereal Plane, allowing such attacks to affect ethereal creatures normally. Weapons with the ghost killer fusion can also score critical hits against incorporeal creatures. In addition, an incorporeal creature (though not an ethereal one) can pick up, move, or wield a ghost killer weapon.
Interposing|Pact Worlds pg. 194|5|You can add the interposing fusion only to a melee weapon. Developed and popularized by the Knights of Golarion, this fusion generally adds shining sword icons to the weapon. Whenever you hit an enemy with an interposing weapon, you and all adjacent allies gain a +1 enhancement bonus to AC against that enemy’s melee attacks until the beginning of your next turn.
Limning|Starfinder Armory pg. 64|5|Successful attacks with a weapon with the limning fusion surround the target with a glowing aura. For 1 round after you successfully attack a single creature with your weapon, it is surrounded by a pale glow that reveals its location. While so illuminated, the creature takes a –20 penalty to Stealth checks and does not benefit from concealment provided by darkness, invisibility, smoke, and similar effects. However, displacement and other effects that shift location entirely are not negated. The light is too dim to harm creatures vulnerable to light and does not serve to illuminate anything but the creature affected by limning. Limning weapons create glows in a variety of hues, and some even bestow a variety of colors. The limning fusion has no effect on attacks that affect multiple foes. MALEDICTION LEVEL 9 Once per day when you successfully attack a foe with a weapon with the malediction fusion, as a reaction you can cast bestow curse on the target as a spell-like ability (using the weapon’s item level as the caster level). This does not provoke an attack of opportunity. If the weapon with this fusion has an item level of 14 or higher you may use this ability twice per day, and if it has an item level of 19 or higher you may use this ability three times per day. A weapon cannot have the malediction fusion if it also has either the holy or merciful weapon fusions.
Obscuring|Starfinder Armory pg. 64|5|A weapon with the obscuring fusion emits mist, smoke, or a similar obscuring vapor when wielded. After attacking with the weapon, as a move action you can cause the weapon to emit enough vapor to conceal you until the start of your next turn. This effect ends immediately if you move for any reason from where you made your attack. This concealment does not interfere with your attacks or benefit others, even if they move into the space you attacked from, and you can’t use it to hide. Conditions such as strong wind or vacuum that quickly disperse vapors negate this concealment. Only projectile weapons or those that deal cold or fire damage can benefit from this fusion.
Punishing|Starfinder Armory pg. 65|5|Subsequent wounds from a weapon with the punishing fusion have greater effect. When you damage a creature with the weapon, you receive a +1 bonus to damage against that target with this weapon until the end of your turn. If you successfully damage the same creature with this weapon multiple times in the same round, the bonus increases by 1 on each additional attack. If you damage a creature with this weapon when it isn’t your turn, such as with an attack of opportunity, the bonus lasts until the end of your next turn after the attack.
Selective|Starfinder Armory pg. 65|5|With the selective weapon fusion, you can exclude a single target from a weapon’s area of effect. When using a selective weapon to make an automatic, blast, explode, line, or other form of area attack that affects multiple targets, you can choose a single target to leave out of the area of effect.
Shock|Starfinder Core Rulebook pg. 195|5|The shock fusion weaves the electrical energy of the universe into the weapon’s form. Half the weapon’s damage type is replaced with electricity damage. You can activate or deactivate the shock fusion as a swift action. If the weapon already deals two types of damage, replace one of them with electricity (you decide which damage type to replace each time you activate the shock fusion). You can add this fusion only to a weapon that does not already deal electricity damage. This fusion never causes a weapon that normally target KAC to target EAC.
Vicious|Starfinder #2: Temple of the Twelve pg. 53|5|Vicious weapons have sinister appearances. A vicious weapon gains the boost special weapon property, but when you make an attack with the boosted damage, you take damage equal to the additional boost damage. This damage applies even if your attack misses, and it is not reduced by DR, resistance, or any other ability. The boost is 1d4, plus an additional 1d4 for every 6 item levels the weapon has. If the weapon does not use charges or ammunition, boosting it takes a standard action and does not expend any additional charges or ammunition. You cannot boost an attack made with the automatic, blast, explode, or line weapon special property. Weapons that have the boost special weapon property cannot be vicious.
Adaptive|Starfinder #19: Fate of the Fifth pg. 52|6|An weapon fitted with an adaptive fusion adjusts to any target it hits repeatedly. The fusion’s benefits can be granted against only one target at a time. Once the weapon hits a new target, it resets and starts building up momentum against that target, losing the benefits it might have had for any previous target. An adaptive weapon gains the following benefits depending on how many hits it has scored against a given target. The effects are cumulative.3+ Hits: The weapon ignores an amount of the target’s energy resistance or damage resistance equal to half the weapon’s item level.5+ Hits: The weapon gains an enhancement bonus to damage equal to half the item level.7+ Hits: The target is flat-footed against attacks made with this weapon.
Advancing|Starfinder Armory pg. 62|6|When you defeat a foe, a weapon with the advancing fusion draws you further into the fray. The first time each round that you make a successful melee attack with an advancing weapon that drops a foe (by killing it or rendering it unconscious), you can take a guarded step as a reaction. This movement must move you closer to at least one foe.
Agonizing|Starfinder #11: The Penumbra Protocol pg. 53|6|Once per day when you successfully attack a foe with a weapon with the agonizing fusion, you can cast inflict pain on the target as a spell-like ability (using the weapon's item level as the caster level). This doesn't provoke an attack of opportunity. If the weapon with this fusion has an item level of 11 or higher, you can use this ability twice per day, and if it has an item level of 16 or higher, you can use this ability three times per day.
Chained|Starfinder #1: Incident at Absalom Station pg. 52|6|Weapons with the chained fusion gain a short chain that dangles from the haft or handle. The chain magically extends to enable the weapon to attack foes beyond the wielder’s immediate reach. A chained weapon gains the reach weapon special property for the first attack made with it each round. After it has been used for an attack, the weapon loses the reach weapon special property until the beginning of your next turn. You can add this fusion only to melee weapons.
Cruel|Starfinder Armory pg. 63|6|The cruel fusion feeds on fear and despair. When you strike a target that is frightened, panicked, or shaken with a weapon with this fusion, the target is sickened for 1 round. When you make a successful attack that drops a foe (either by killing it or knocking it unconscious), you gain 5 temporary Hit Points that last for 10 minutes. Weapons with the nonlethal special property cannot benefit from the cruel fusion.
Dampening|Starfinder #20: The Last Refuge pg. 44|6|On a critical hit, a weapon with the dampening fusion can suppress any vibration-based blindsense the target has for 1d4 rounds. The target can negate this effect with a successful Fortitude save. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the dampening effect.
Dimensional Disruption|Starfinder #5: The Thirteenth Gate pg. 39|6|This fusion infuses the disruption of kishalee weapons into the weapon’s output. Half of the weapon’s damage type is replaced with sonic damage, and it gains the staggered critical hit effect. You can activate or deactivate the dimensional disruption fusion as a swift action. If the weapon already deals two types of damage, replace one of them with sonic (you decide which damage type is replaced each time you activate the dimensional disruption fusion). If the weapon already has a critical effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the staggered effect, though you can apply the staggered effect only if the target takes sonic damage from this fusion. This fusion can never cause a weapon that normally targets KAC to target EAC.
EMP|Alien Archive 3 pg. 109|6|The EMP weapon fusion gives the weapon an electromagnetic pulse critical hit effect. When this effect triggers, the target’s worn and wielded technology, including weapons without the analog special property, armor environmental protections, powered armor, and technological and hybrid items, cease functioning for 1 round. A technological construct struck by this effect must succeed at a Reflex save or be staggered for 1 round. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the EMP effect.
Ensnaring|Starfinder Armory pg. 63|6|The ensnaring fusion binds the target on a critical hit. On a critical hit with this weapon, you can apply the entangle weapon special property. The entangle effect ends after 1 minute if the target has not already escaped it. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the entangle effect. If you successfully affect a target with both the entangling and ensnaring fusions on the same attack roll, only the ensnaring fusion applies, and your use of the entangling fusion is not consumed. Only weapons that deal bludgeoning, cold, piercing, or slashing damage can benefit from this fusion.
