Name|Category|Level|Price|Damage|Range|Critical|Capacity|Usage|Bulk|Special|Proficiency|Hands
Zero Cannon, Advanced|Cryo|14|81,400|5d8 C|60 ft.|staggered|100 charges|5|2|line, unwieldy|Heavy Weapons|2
Frailty Cannon, Massacre-Class|Cryo|15|132,000|6d6 C|60 ft.|—|50 charges|5|2|line, necrotic|Heavy Weapons|2
Ice Launcher, Glacier|Cryo|15|108,000|8d12 B & C|60 ft.|knockdown|80 charges|8|3|unwieldy|Heavy Weapons|2
Energy Converter, Elite|Cryo|16|198,000|3d10 C|100 ft.|staggered|20 charges|1|3|explode (20 ft.), unwieldy|Heavy Weapons|2
Coolant Sprayer, Isothermal|Cryo|17|290,000|3d6 C|40 ft.|staggered|40 charges|4|3|blast, entangle (2d4 rounds), unwieldy|Heavy Weapons|2
Zero Cannon, Elite|Cryo|18|412,800|8d8 C|80 ft.|staggered|100 charges|5|2|line, unwieldy|Heavy Weapons|2
Frailty Cannon, Extinction-Class|Cryo|19|660,000|9d6 C|80 ft.|—|50 charges|5|2|line, necrotic|Heavy Weapons|2
Hailcannon, Clathrate|Cryo|19|565,000|14d8 C & P|100 ft.|staggered|80 charges|8|2|automatic|Heavy Weapons|2
Ice Launcher, Icecap|Cryo|20|892,000|14d12 B & C|60 ft.|knockdown|80 charges|8|3|unwieldy|Heavy Weapons|2
Disintegrator Cannon, Liquidator|Disintegrator|6|4,800|1d20 A|40 ft.|corrode 1d6|40 charges|4|3|line, unwieldy|Heavy Weapons|2
Nanite Decoupler, Caustic|Disintegrator|9|15,000|2d6 A|60 ft.|corrode 1d6|10 nanites|2|3|explode (10 ft.), unwieldy|Heavy Weapons|2
Disintegrator Cannon, Decimator|Disintegrator|11|29,500|3d10 A|40 ft.|corrode 2d6|40 charges|4|3|line, unwieldy|Heavy Weapons|2
Disintegrator Cannon, Executioner|Disintegrator|16|220,000|5d10 A|40 ft.|corrode 3d6|80 charges|8|3|line, unwieldy|Heavy Weapons|2
Nanite Decoupler, Vitriolic|Disintegrator|19|650,000|2d20 A|80 ft.|corrode 3d6|10 nanites|5|3|explode (20 ft.), unwieldy|Heavy Weapons|2
Disintegrator Cannon, Eradicator|Disintegrator|20|765,000|5d20 A|40 ft.|corrode 4d6|80 charges|8|3|line, unwieldy|Heavy Weapons|2
Agitator, Ember|Flame|1|330|1d8 F|60 ft.|burn 1d4|20 charges|1|2|boost 1d4|Heavy Weapons|2
Flamethrower, Ifrit-Class|Flame|2|780|1d6 F|15 ft.|burn 1d6|20 petrol|4|2|analog, blast, unwieldy|Heavy Weapons|2
Burner, Ifrit-Class|Flame|3|1,300|1d10 F|30 ft.|burn 1d6|40 petrol|4|2|line, unwieldy|Heavy Weapons|2
Radcannon, Electromagnetic|Flame|4|2,150|1d8 F|30 ft.|irradiate|40 charges|2|2|blast, radioactive, unwieldy|Heavy Weapons|2
Flame Launcher, Fireball|Flame|5|3,250|1d8 F|60 ft.|burn 1d6|20 petrol|2|2|explode (10 ft.), unwieldy|Heavy Weapons|2
Agitator, Blaze|Flame|6|4,300|2d6 F|80 ft.|burn 2d4|40 charges|1|2|boost 1d6|Heavy Weapons|2
Flamethrower, Pyre-Class|Flame|6|4,200|1d10 F|30 ft.|burn 1d8|20 petrol|4|2|analog, blast, unwieldy|Heavy Weapons|2
Burner, Salamander-Class|Flame|7|6,050|2d10 F|40 ft.|burn 2d6|40 petrol|4|2|line, unwieldy|Heavy Weapons|2
Flamethrower, Salamander-Class|Flame|8|8,600|2d6 F|30 ft.|burn 2d6|20 petrol|5|2|analog, blast, unwieldy|Heavy Weapons|2
Flame Launcher, Immolation|Flame|9|14,200|2d8 F|80 ft.|burn 2d6|40 petrol|4|2|explode (10 ft.), unwieldy|Heavy Weapons|2
Radcannon, Neutron|Flame|10|18,700|3d6 F|50 ft.|irradiate|40 charges|2|2|blast, radioactive, unwieldy|Heavy Weapons|2
Burner, Hellhound-Class|Flame|11|23,800|3d10 F|50 ft.|burn 3d6|40 petrol|4|2|line, unwieldy|Heavy Weapons|2
Flamethrower, Hellhound-Class|Flame|12|35,100|4d6 F|30 ft.|burn 4d6|40 petrol|8|2|analog, blast, unwieldy|Heavy Weapons|2
Agitator, Inferno|Flame|13|50,800|6d6 F|80 ft.|burn 3d4|40 charges|2|2|boost 2d6|Heavy Weapons|2
Flame Launcher, Supernova|Flame|14|79,800|5d8 F|120 ft.|burn 3d6|40 petrol|5|2|explode (10 ft.), unwieldy|Heavy Weapons|2
Flamethrower, Firedrake-Class|Flame|15|128,000|6d6 F|30 ft.|burn 6d6|40 petrol|10|2|analog, blast, unwieldy|Heavy Weapons|2
Burner, Firedrake-Class|Flame|16|158,000|6d10 F|60 ft.|burn 4d6|40 petrol|4|2|line, unwieldy|Heavy Weapons|2
Radcannon, Rapid-Decay|Flame|17|264,000|7d8 F|60 ft.|irradiate|40 charges|2|2|blast, radioactive, unwieldy|Heavy Weapons|2
Flamethrower, Phoenix-Class|Flame|18|367,500|9d6 F|30 ft.|burn 9d6|40 petrol|10|2|analog, blast, unwieldy|Heavy Weapons|2
Agitator, Solar Flare|Flame|19|580,000|12d6 F|100 ft.|burn 4d4|40 charges|2|2|boost 5d6|Heavy Weapons|2
Burner, Pheonic-Class|Flame|20|795,000|10d10 F|75 ft.|burn 5d6|40 petrol|4|2|line, unwieldy|Heavy Weapons|2
Artillery Laser, Azimuth|Laser|1|425|1d10 F|120 ft.|burn 1d6|20 charges|2|3|penetrating|Heavy Weapons|2
Rotolaser, Tactical|Laser|2|720|1d8 F|100 ft.|burn 1d4|20 charges|1|2|Automatic|Heavy Weapons|2
Dazzler, Flash|Laser|3|1,420|1d10 F|120 ft.|blind|20 charges|2|2|nonlethal|Heavy Weapons|2
Convergent Laser, Single-Wave|Laser|4|2,100|1d12 F|100 ft.|burn 1d6|40 charges|4|2|unwieldy|Heavy Weapons|2
Divergent Laser, Single-Wave|Laser|5|3,430|1d8 F|60 ft.|burn 1d6|40 charges|2|2|blast, unwieldy|Heavy Weapons|2
Artillery Laser, Corona|Laser|6|4,650|2d8 F|120 ft.|burn 1d6|40 charges|4|3|penetrating|Heavy Weapons|2
Rotolaser, Advanced|Laser|7|6,040|2d8 F|120 ft.|burn 1d6|20 charges|1|2|Automatic|Heavy Weapons|2
Dazzler, Strobe|Laser|8|9,420|2d12 F|150 ft.|blind|20 charges|2|2|nonlethal|Heavy Weapons|2
Artillery Laser, Aphelion|Laser|9|14,300|3d8 F|120 ft.|burn 1d6|40 charges|4|3|penetrating|Heavy Weapons|2
Autobeam Artillery, Tactical|Laser|10|19,400|2d8 F|120 ft.|burn 1d8|40 charges|1|2|automatic|Heavy Weapons|2
Convergent Laser, Multiwave|Laser|11|24,500|4d10 F|120 ft.|burn 3d6|40 charges|4|2|unwieldy|Heavy Weapons|2
Divergent Laser, Multiwave|Laser|12|41,200|4d8 F|80 ft.|burn 2d6|40 charges|2|2|blast, unwieldy|Heavy Weapons|2
Artillery Laser, Perihelion|Laser|13|53,800|4d8 F|130 ft.|burn 2d6|100 charges|5|3|penetrating|Heavy Weapons|2
Dazzler, Sunspot|Laser|14|71,500|4d12 F|150 ft.|blind|20 charges|2|2|nonlethal|Heavy Weapons|2
Convergent Laser, Wide-Spectrum|Laser|15|118,000|7d10 F|120 ft.|burn 4d6|40 charges|4|2|unwieldy|Heavy Weapons|2
Autobeam Artillery, Advanced|Laser|16|145,700|4d8 F|120 ft.|burn 2d8|40 charges|1|2|automatic|Heavy Weapons|2
Artillery Laser, Parallax|Laser|17|248,000|7d8 F|150 ft.|burn 4d6|100 charges|5|3|penetrating|Heavy Weapons|2
Divergent Laser, Wide-Spectrum|Laser|18|414,000|7d8 F|90 ft.|burn 3d6|40 charges|2|2|blast, unwieldy|Heavy Weapons|2
Autobeam Artillery, Elite|Laser|19|543,300|6d8 F|120 ft.|burn 2d10|40 charges|1|2|automatic|Heavy Weapons|2
Artillery Laser, Zenith|Laser|20|722,000|9d8 F|150 ft.|burn 5d6|100 charges|5|3|penetrating|Heavy Weapons|2
Conqueror, Red Star|Plasma|1|430|1d10 E & F|60 ft.|wound|20 charges|4|3|unwieldy|Heavy Weapons|2
Hydra Cannon, Python-Series|Plasma|2|1,070|1d6 E & F|20 ft.|—|20 charges|2|2|blast, shape 1, unwieldy|Heavy Weapons|2
Plasma Array, Red Star|Plasma|3|1,380|1d10 E & F|80 ft.|burn 1d4|20 charges|1|2|automatic|Heavy Weapons|2
Starheart Cannon, Red Star|Plasma|3|1,300|1d6 E & F|100 ft.|blind|40 charges|5|2|bright, explode (5 ft.), unwieldy|Heavy Weapons|2
Conqueror, Yellow Star|Plasma|4|2,400|1d12 E & F|80 ft.|wound|40 charges|4|3|unwieldy|Heavy Weapons|2
Aurora Cannon, Hydrogen|Plasma|5|3,100|2d4 E & F|100 ft.|blind|40 charges|2|2|aurora|Heavy Weapons|2
Plasma Flare, Luminous|Plasma|5|2,950|2d6 E & F|80 ft.|—|20 charges|1|2|bright, unwieldy|Heavy Weapons|2
Hydra Cannon, Viper-Series|Plasma|6|4,800|2d6 E & F|25 ft.|—|20 charges|2|2|blast, shape 2, unwieldy|Heavy Weapons|2
Plasma Array, Yellow Star|Plasma|7|6,300|2d10 E & F|80 ft.|burn 2d4|20 charges|2|2|automatic|Heavy Weapons|2
Plasma Cannon, Red Star|Plasma|8|8,650|2d10 E & F|100 ft.|burn 1d8|40 charges|5|2|explode (5 ft.), unwieldy|Heavy Weapons|2
Starheart Cannon, Yellow Star|Plasma|8|9,050|3d6 E & F|100 ft.|blind|100 charges|5|2|bright, explode (10 ft.), unwieldy|Heavy Weapons|2
Conqueror, White Star|Plasma|9|15,200|3d12 E & F|80 ft.|wound|40 charges|4|3|unwieldy|Heavy Weapons|2
Plasma Flare, Radiant|Plasma|9|13,275|5d6 E & F|100 ft.|wound|40 charges|2|2|bright, unwieldy|Heavy Weapons|2
Aurora Cannon, Electron|Plasma|10|18,200|6d4 E & F|120 ft.|blind|40 charges|2|2|aurora|Heavy Weapons|2
Plasma Array, White Star|Plasma|11|26,400|3d10 E & F|100 ft.|burn 3d4|20 charges|1|2|automatic|Heavy Weapons|2
Hydra Cannon, Asp-Series|Plasma|12|41,000|4d6 E & F|30 ft.|—|20 charges|2|2|blast, shape 3, unwieldy|Heavy Weapons|2
Conqueror, Blue Star|Plasma|13|52,000|5d10 E & F|100 ft.|wound|80 charges|4|3|unwieldy|Heavy Weapons|2
Plasma Flare, Brilliant|Plasma|13|53,100|8d6 E & F|100 ft.|wound|80 charges|4|2|bright, unwieldy|Heavy Weapons|2
Starheart Cannon, White Star|Plasma|13|48,100|5d6 E & F|100 ft.|blind|100 charges|5|2|bright, explode (10 ft.), unwieldy|Heavy Weapons|2
Plasma Cannon, Yellow Star|Plasma|14|62,800|4d10 E & F|100 ft.|burn 2d8|100 charges|5|2|explode (5 ft.), unwieldy|Heavy Weapons|2
Plasma Array, Blue Star|Plasma|15|109,000|5d10 E & F|100 ft.|burn 4d4|20 charges|1|2|automatic|Heavy Weapons|2
Plasma Cannon, White Star|Plasma|16|189,200|6d10 E & F|100 ft.|burn 3d8|100 charges|5|2|explode (5 ft.), unwieldy|Heavy Weapons|2
Aurora Cannon, Proton|Plasma|17|258,000|15d4 E & F|120 ft.|blind|40 charges|2|2|aurora|Heavy Weapons|2
Plasma Flare, Incandescent|Plasma|17|265,500|13d6 E & F|100 ft.|wound|100 charges|5|2|bright, unwieldy|Heavy Weapons|2
Conqueror, Violet Star|Plasma|18|590,000|10d10 E & F|100 ft.|wound|80 charges|8|3|unwieldy|Heavy Weapons|2
Starheart Cannon, Blue Star|Plasma|18|360,000|9d6 E & F|100 ft.|blind|100 charges|10|2|bright, explode (15 ft.), unwieldy|Heavy Weapons|2
Hydra Cannon, Cobra-Series|Plasma|19|642,000|10d6 E & F|40 ft.|—|20 charges|2|2|blast, shape 4, unwieldy|Heavy Weapons|2
Plasma Cannon, Blue Star|Plasma|20|950,000|8d10 E & F|100 ft.|burn 4d8|100 charges|10|2|explode (10 ft.), unwieldy|Heavy Weapons|2
Reaction Cannon, Light|Projectile|1|250|1d10 P|90 ft.|—|6 rounds|1|3|penetrating|Heavy Weapons|2
Dart Cannon, Light|Projectile|2|690|1d8 P|120 ft.|embed 1d6|50 darts|10|2|unwieldy|Heavy Weapons|2
Rail Cannon, Tactical|Projectile|3|1,410|1d10 P|60 ft.|bleed 1d4|20 rounds|5|2|line, unwieldy|Heavy Weapons|2
Machine Gun, Squad|Projectile|4|2,060|1d10 P|60 ft.|—|40 rounds|2|2|analog, automatic|Heavy Weapons|2
Dart Cannon, Tactical|Projectile|5|2,800|1d12 P|130 ft.|embed 1d8|50 darts|10|2|unwieldy|Heavy Weapons|2
X-Gen Gun, Tactical|Projectile|6|4,240|1d12 P|120 ft.|—|80 rounds|2|2|automatic|Heavy Weapons|2
Reaction Cannon, Tactical|Projectile|7|6,100|2d10 P|90 ft.|—|6 rounds|1|3|penetrating|Heavy Weapons|2
Dart Cannon, Heavy|Projectile|8|9,650|2d12 P|140 ft.|embed 1d8|50 darts|10|2|unwieldy|Heavy Weapons|2
Machine Gun, Light|Projectile|8|8,600|2d10 P|60 ft.|—|60 rounds|2|2|analog, automatic|Heavy Weapons|2
X-Gen Gun, Advanced|Projectile|9|13,100|2d12 P|120 ft.|—|100 rounds|2|2|automatic|Heavy Weapons|2
Reaction Cannon, Heavy|Projectile|10|16,750|3d10 P|100 ft.|—|6 rounds|1|3|penetrating|Heavy Weapons|2
Stellar Cannon, Light|Projectile|10|19,200|2d12 P|30 ft.|wound|18 shells|6|2|blast|Heavy Weapons|2
Crossbolter, Advanced|Projectile|11|21,900|4d10 P|70 ft.|—|12 arrows|4|2|unwieldy|Heavy Weapons|2
Dart Cannon, Advanced|Projectile|11|22,300|3d12 P|150 ft.|embed 1d10|50 darts|10|2|unwieldy|Heavy Weapons|2
Machine Gun, Medium|Projectile|11|23,100|3d10 P|60 ft.|—|60 rounds|2|2|analog, automatic|Heavy Weapons|2
Rail Cannon, Advanced|Projectile|12|37,000|3d10 P|80 ft.|bleed 2d4|40 rounds|8|2|line, unwieldy|Heavy Weapons|2
X-Gen Gun, Elite|Projectile|13|53,700|4d12 P|120 ft.|—|100 rounds|2|2|automatic|Heavy Weapons|2
Crossbolter, Elite|Projectile|14|71,400|6d10 P|60 ft.|—|30 arrows|6|2|unwieldy|Heavy Weapons|2
Reaction Cannon, Advanced|Projectile|14|73,000|6d10 P|100 ft.|—|6 rounds|1|3|penetrating|Heavy Weapons|2
Dart Cannon, Elite|Projectile|15|118,000|6d12 P|150 ft.|embed 2d12|50 darts|5|2|unwieldy|Heavy Weapons|2
Stellar Cannon, Heavy|Projectile|15|122,800|4d12 P|30 ft.|wound|32 shells|8|2|blast|Heavy Weapons|2
Rail Cannon, Elite|Projectile|16|176,000|8d10 P|80 ft.|bleed 3d6|50 rounds|10|2|line, unwieldy|Heavy Weapons|2
Machine Gun, Heavy|Projectile|17|220,300|7d10 P|120 ft.|—|100 rounds|4|2|analog, automatic|Heavy Weapons|2
Reaction Cannon, Elite|Projectile|17|244,000|8d10 P|100 ft.|—|6 rounds|1|3|penetrating|Heavy Weapons|2
Crossbolter, Paragon|Projectile|18|327,200|10d10 P|60 ft.|—|40 arrows|8|2|unwieldy|Heavy Weapons|2
Dart Cannon, Paragon|Projectile|19|584,000|9d12 P|150 ft.|embed 3d12|50 darts|5|2|unwieldy|Heavy Weapons|2
Rail Cannon, Paragon|Projectile|19|591,000|12d10 P|100 ft.|bleed 4d6|60 rounds|10|2|line, unwieldy|Heavy Weapons|2
Reaction Cannon, Paragon|Projectile|20|810,000|12d10 P|100 ft.|—|6 rounds|1|3|penetrating|Heavy Weapons|2
X-Gen Gun, Paragon|Projectile|20|826,000|9d12 P|120 ft.|—|100 rounds|2|2|automatic|Heavy Weapons|2
Arc Caster, Static|Shock|1|375|1d8 E|60 ft.|second arc 1d6|20 charges|2|2|first arc 1d6, unwieldy|Heavy Weapons|2
Stormcaller, Sheet|Shock|2|1,100|1d8 E|30 ft.|—|20 charges|5|2|flexible line, living, unwieldy|Heavy Weapons|2
Anacite Ion Cannon, Static|Shock|3|1,550|1d10 E|20 ft.|staggered|20 charges|2|2|line, lockdown, unwieldy|Heavy Weapons|2
Colossus Coil, Corona|Shock|3|1,450|1d8 E|80 ft.|arc 1d6|20 charges|4|3|boost 1d8|Heavy Weapons|2
Cathode Cannon, Tactical|Shock|4|2,040|1d10 E|40 ft.|—|40 charges|4|2|unwieldy, wide line|Heavy Weapons|2
Arc Caster, Aurora|Shock|5|3,160|2d6 E|60 ft.|second arc 1d6|40 charges|2|2|first arc 1d6, unwieldy|Heavy Weapons|2
Shock Caster, Static|Shock|6|4,620|1d12 E|40 ft.|—|40 charges|2|2|explode (10 ft.), unwieldy|Heavy Weapons|2
Stormcaller, Ribbon|Shock|7|7,700|2d8 E|40 ft.|—|40 charges|5|2|flexible line, living, unwieldy|Heavy Weapons|2
Anacite Ion Cannon, Aurora|Shock|8|10,900|2d10 E|45 ft.|staggered|40 charges|4|2|line, lockdown, unwieldy|Heavy Weapons|2
Cathode Cannon, Advanced|Shock|8|9,300|2d12 E|60 ft.|—|40 charges|4|2|unwieldy, wide line|Heavy Weapons|2
Colossus Coil, Brush|Shock|9|13,800|3d8 E|100 ft.|arc 2d6|40 charges|8|3|boost 1d8|Heavy Weapons|2
Shock Caster, Aurora|Shock|10|19,100|2d12 E|40 ft.|—|40 charges|4|2|explode (15 ft.), unwieldy|Heavy Weapons|2
Arc Caster, Storm|Shock|11|25,600|5d6 E|80 ft.|second arc 2d6|40 charges|4|2|first arc 2d6, unwieldy|Heavy Weapons|2
Cathode Cannon, Elite|Shock|12|35,300|3d12 E|60 ft.|—|40 charges|4|2|unwieldy, wide line|Heavy Weapons|2
Anacite Ion Cannon, Storm|Shock|13|52,900|4d10 E|75 ft.|staggered|80 charges|5|2|line, lockdown, unwieldy|Heavy Weapons|2
Stormcaller, Rocket|Shock|13|57,000|4d8 E|60 ft.|—|40 charges|5|2|flexible line, living, unwieldy|Heavy Weapons|2
Colossus Coil, Streamer Arc|Shock|14|76,400|5d8 E|100 ft.|arc 3d6|40 charges|8|3|boost 2d8|Heavy Weapons|2
Cathode Cannon, Paragon|Shock|15|109,000|6d12 E|100 ft.|—|40 charges|4|2|unwieldy, wide line|Heavy Weapons|2
Shock Caster, Storm|Shock|16|164,800|5d12 E|40 ft.|—|100 charges|10|2|explode (20 ft.), unwieldy|Heavy Weapons|2
Arc Caster, Tempest|Shock|17|262,000|10d6 E|80 ft.|second arc 4d6|40 charges|5|2|first arc 4d6, unwieldy|Heavy Weapons|2
Anacite Ion Cannon, Tempest|Shock|18|441,000|6d10 E|100 ft.|staggered|100 charges|10|2|line, lockdown, unwieldy|Heavy Weapons|2
Cathode Cannon, Shockstorm|Shock|18|647,000|7d12 E|120 ft.|—|80 charges|4|2|unwieldy, wide line|Heavy Weapons|2
Stormcaller, Smooth-Channel|Shock|18|440,000|8d8 E|60 ft.|—|40 charges|5|2|flexible line, living, unwieldy|Heavy Weapons|2
Colossus Coil, Multistream|Shock|19|888,000|10d8 E|120 ft.|arc 4d6|80 charges|10|3|boost 3d8|Heavy Weapons|2
Shock Caster, Tempest|Shock|20|735,000|7d12 E|40 ft.|—|100 charges|10|2|explode (20 ft.), unwieldy|Heavy Weapons|2
Shout Projector, Exhorter|Sonic|1|420|1d6 So|30 ft.|demoralize|20 charges|2|2|explode (10 ft.), integrated (2 slots), nonlethal, unwieldy|Heavy Weapons|2
Dirge Cannon, Harmonic|Sonic|2|900|1d8 So|20 ft.|deafen|20 charges|4|3|antibiological, blast, unwieldy|Heavy Weapons|2
Sonic Bolter, Light|Sonic|3|1,480|1d10 So|60 ft.|sicken|20 charges|2|2|antibiological, line, unwieldy|Heavy Weapons|2
Resonator, Diffraction|Sonic|4|2,080|1d8 So|60 ft.|deafen|40 charges|2|2|boost 1d8, penetrating|Heavy Weapons|2
Screamer, Thunderstrike|Sonic|5|3,350|1d10 So|30 ft.|deafen|40 charges|4|2|blast, unwieldy|Heavy Weapons|2
Shout Projector, Damper|Sonic|6|4,750|2d6 So|40 ft.|demoralize|20 charges|2|2|explode (10 ft.), integrated (2 slots), nonlethal, unwieldy|Heavy Weapons|2
Dirge Cannon, Resonant|Sonic|7|4,270|2d6 So|30 ft.|deafen|40 charges|4|3|antibiological, blast, unwieldy|Heavy Weapons|2
Sonic Bolter, Heavy|Sonic|8|10,100|2d10 So|80 ft.|sicken|20 charges|2|2|antibiological, line, unwieldy|Heavy Weapons|2
Screamer, LFD|Sonic|9|14,000|2d10 So|60 ft.|deafen|80 charges|8|2|blast, unwieldy|Heavy Weapons|2
Resonator, Refraction|Sonic|10|18,300|2d8 So|80 ft.|deafen|40 charges|2|2|boost 2d8, penetrating|Heavy Weapons|2
Shout Projector, Pacifier|Sonic|11|22,800|3d8 So|60 ft.|demoralize|40 charges|4|2|explode (15 ft.), integrated (2 slots), nonlethal, unwieldy|Heavy Weapons|2
Sonic Bolter, Assault|Sonic|12|38,000|3d12 So|80 ft.|sicken|20 charges|2|2|antibiological, line, unwieldy|Heavy Weapons|2
Dirge Cannon, Anharmonic|Sonic|13|49,900|5d6 So|40 ft.|deafen|80 charges|4|3|antibiological, blast, unwieldy|Heavy Weapons|2
Resonator, Linear|Sonic|14|73,800|4d8 So|100 ft.|deafen|40 charges|2|2|boost 3d8, penetrating|Heavy Weapons|2
Screamer, HFD|Sonic|15|107,500|4d10 So|60 ft.|deafen|100 charges|10|2|blast, unwieldy|Heavy Weapons|2
Dirge Cannon, Parametric|Sonic|16|172,000|7d6 So|50 ft.|deafen|80 charges|4|3|antibiological, blast, unwieldy|Heavy Weapons|2
Shout Projector, Riot|Sonic|17|304,000|5d8 So|60 ft.|demoralize|40 charges|4|2|explode (15 ft.), integrated (2 slots), nonlethal, unwieldy|Heavy Weapons|2
Sonic Bolter, Devastator|Sonic|18|398,000|3d12 So|90 ft.|sicken|20 charges|2|2|antibiological, line, unwieldy|Heavy Weapons|2
Resonator, Phased|Sonic|19|565,000|8d8 So|110 ft.|deafen|40 charges|2|2|boost 5d8, penetrating|Heavy Weapons|2
Shout Projector, Crackdown|Sonic|20|918,000|9d8 So|80 ft.|demoralize|80 charges|8|2|explode (20 ft.), integrated (2 slots), nonlethal, unwieldy|Heavy Weapons|2
